2,50,100,506,100,0,100.00,0.1976,2025-07-16 17:07:40
4,50,200,580,200,0,100.00,0.3448,2025-07-16 17:07:41
7,50,350,686,349,1,99.71,0.5087,2025-07-16 17:07:42
12,50,600,778,594,6,99.00,0.7635,2025-07-16 17:07:43
13,50,650,852,639,11,98.31,0.7500,2025-07-16 17:07:45
